Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2009",,,,,,,,,,,,,
State,Area,,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,
,,Estimated total,100.0%,"28,030",330,"1,693","9,592","16,415","252,558","74,593","162,684","15,281",
,Cities outside metropolitan areas,,"845,543",,,,,,,,,,
,,Area actually reporting,93.6%,"5,062",79,254,"1,452","3,277","44,867","12,534","30,527","1,806",
,,Estimated total,100.0%,"5,396",84,270,"1,547","3,495","47,849","13,368","32,556","1,925",
,Nonmetropolitan counties,,"1,915,070",,,,,,,,,,
,,Area actually reporting,95.8%,"4,315",77,329,657,"3,252","41,867","19,040","20,127","2,700",
,,Estimated total,100.0%,"4,503",80,343,686,"3,394","43,691","19,869","21,004","2,818",
,State Total,,"9,380,884","37,929",494,"2,306","11,825","23,304","344,098","107,830","216,244","20,024",
,,"Rate per 100,000 inhabitants",,404.3,5.3,24.6,126.1,248.4,"3,668.1","1,149.5","2,305.2",213.5,
NORTH DAKOTA,Metropolitan Statistical Area,,"317,071", ,,,,,,,,,
,,Area actually reporting,100.0%,755,5,135,81,534,"8,096","1,515","6,039",542,
,Cities outside metropolitan areas,,"138,126",,,,,,,,,,
,,Area actually reporting,93.9%,414,3,61,16,334,"2,989",509,"2,309",171,
,,Estimated total,100.0%,441,3,65,17,356,"3,184",542,"2,460",182,
,Nonmetropolitan counties,,"191,647",,,,,,,,,,
,,Area actually reporting,89.3%,91,2,22,6,61,"1,091",265,712,114,
,,Estimated total,100.0%,102,2,25,7,68,"1,222",297,797,128,
,State Total,,"646,844","1,298",10,225,105,958,"12,502","2,354","9,296",852,
,,"Rate per 100,000 inhabitants",,200.7,1.5,34.8,16.2,148.1,"1,932.8",363.9,"1,437.1",131.7,
OHIO,Metropolitan Statistical Area,,"9,318,858",,,,,,,,,,
,,Area actually reporting,93.5%,"34,336",475,"3,348","16,710","13,803","307,483","87,427","199,609","20,447",
,,Estimated total,100.0%,"35,321",486,"3,497","17,100","14,238","323,805","90,795","211,907","21,103",
,Cities outside metropolitan areas,,"922,840",,,,,,,,,,
,,Area actually reporting,80.6%,"1,511",12,242,447,810,"28,311","5,615","22,055",641,
,,Estimated total,100.0%,"1,873",15,300,554,"1,004","35,109","6,963","27,351",795,
,Nonmetropolitan counties,,"1,300,947",,,,,,,,,,
,,Area actually reporting,90.6%,"1,031",16,204,116,695,"16,894","5,851","10,144",899,
,,Estimated total,100.0%,"1,138",18,225,128,767,"18,639","6,455","11,192",992,
,State Total,,"11,542,645","38,332",519,"4,022","17,782","16,009","377,553","104,213","250,450","22,890",
,,"Rate per 100,000 inhabitants",,332.1,4.5,34.8,154.1,138.7,"3,270.9",902.9,"2,169.8",198.3,
OKLAHOMA,Metropolitan Statistical Area,,"2,358,425",,,,,,,,,,
,,Area actually reporting,99.9%,"13,844",177,"1,021","2,972","9,674","96,210","27,743","60,095","8,372",
,,Estimated total,100.0%,"13,846",177,"1,021","2,972","9,676","96,238","27,750","60,114","8,374",
,Cities outside metropolitan areas,,"715,224",,,,,,,,,,
,,Area actually reporting,99.6%,"3,406",32,372,338,"2,664","27,285","7,036","18,987","1,262",
,,Estimated total,100.0%,"3,420",32,374,339,"2,675","27,398","7,065","19,066","1,267",
,Nonmetropolitan counties,,"613,401",,,,,,,,,,
,,Area actually reporting,100.0%,"1,208",19,134,32,"1,023","8,133","3,160","4,210",763,
,State Total,,"3,687,050","18,474",228,"1,529","3,343","13,374","131,769","37,975","83,390","10,404",
,,"Rate per 100,000 inhabitants",,501.1,6.2,41.5,90.7,362.7,"3,573.8","1,030.0","2,261.7",282.2,
OREGON,Metropolitan Statistical Area,,"2,984,822",,,,,,,,,,
,,Area actually reporting,100.0%,"7,792",55,929,"2,208","4,600","92,270","14,992","68,694","8,584",
,Cities outside metropolitan areas,,"396,094",,,,,,,,,,
,,Area actually reporting,96.7%,783,11,117,191,464,"14,120","2,310","11,141",669,
,,Estimated total,100.0%,809,11,121,197,480,"14,599","2,388","11,519",692,
,Nonmetropolitan counties,,"444,741",,,,,,,,,,
,,Area actually reporting,100.0%,"1,143",19,118,56,950,"6,642","1,997","4,052",593,
,State Total,,"3,825,657","9,744",85,"1,168","2,461","6,030","113,511","19,377","84,265","9,869",
,,"Rate per 100,000 inhabitants",,254.7,2.2,30.5,64.3,157.6,"2,967.1",506.5,"2,202.6",258.0,
PENNSYLVANIA,Metropolitan Statistical Area,,"10,616,700",,,,,,,,,,
,,Area actually reporting,99.5%,"43,862",612,"2,975","17,025","23,250","242,769","46,520","179,685","16,564",
,,Estimated total,100.0%,"43,975",613,"2,981","17,056","23,325","243,797","46,683","180,506","16,608",
,Cities outside metropolitan areas,,"927,270",,,,,,,,,,
,,Area actually reporting,96.3%,"2,316",15,223,312,"1,766","18,972","3,452","15,033",487,
,,Estimated total,100.0%,"2,407",16,232,324,"1,835","19,709","3,586","15,617",506,
,Nonmetropolitan counties,,"1,060,797",,,,,,,,,,
,,Area actually reporting,100.0%,"1,583",32,438,134,979,"14,006","4,528","8,771",707,
,State Total,,"12,604,767","47,965",661,"3,651","17,514","26,139","277,512","54,797","204,894","17,821",
,,"Rate per 100,000 inhabitants",,380.5,5.2,29.0,138.9,207.4,"2,201.6",434.7,"1,625.5",141.4,
PUERTO RICO,Metropolitan Statistical Area,,"3,118,752",,,,,,,,,,
,,Area actually reporting,100.0%,"8,861",784,44,"5,551","2,482","46,401","14,094","25,970","6,337",
,Cities outside metropolitan areas,,"848,536",,,,,,,,,,
,,Area actually reporting,100.0%,"1,631",110,21,542,958,"9,536","4,427","4,614",495,
,Total,,"3,967,288","10,492",894,65,"6,093","3,440","55,937","18,521","30,584","6,832",
,,"Rate per 100,000 inhabitants",,264.5,22.5,1.6,153.6,86.7,"1,410.0",466.8,770.9,172.2,
RHODE ISLAND,Metropolitan Statistical Area,,"1,053,209",,,,,,,,,,
,,Area actually reporting,100.0%,"2,647",30,282,786,"1,549","27,470","5,749","19,339","2,382",
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,100.0%,13,1,5,0,7,27,0,16,11,
,State Total,,"1,053,209","2,660",31,287,786,"1,556","27,497","5,749","19,355","2,393",
,,"Rate per 100,000 inhabitants",,252.6,2.9,27.3,74.6,147.7,"2,610.8",545.9,"1,837.7",227.2,
SOUTH CAROLINA,Metropolitan Statistical Area,,"3,488,626",,,,,, ,,,,
,,Area actually reporting,99.9%,"22,767",199,"1,217","4,576","16,775","135,306","33,019","91,490","10,797",
,,Estimated total,100.0%,"22,782",199,"1,217","4,578","16,788","135,422","33,043","91,576","10,803",
,Cities outside metropolitan areas,,"279,964",,,,,,,,,,
,,Area actually reporting,97.9%,"3,079",28,141,596,"2,314","15,476","3,815","10,997",664,
,,Estimated total,100.0%,"3,147",29,144,609,"2,365","15,816","3,899","11,238",679,
,Nonmetropolitan counties,,"792,652",,,,,,,,,,
,,Area actually reporting,100.0%,"4,667",59,251,548,"3,809","26,131","8,340","15,707","2,084",
,State Total,,"4,561,242","30,596",287,"1,612","5,735","22,962","177,369","45,282","118,521","13,566",
,,"Rate per 100,000 inhabitants",,670.8,6.3,35.3,125.7,503.4,"3,888.6",992.8,"2,598.4",297.4,
SOUTH DAKOTA,Metropolitan Statistical Area,,"377,499", ,,,,,,,,,
,,Area actually reporting,98.4%,895,3,282,90,520,"8,927","1,497","6,936",494,
,,Estimated total,100.0%,899,3,283,90,523,"9,012","1,509","7,006",497,
,Cities outside metropolitan areas,,"206,711",,,,,,,,,,
,,Area actually reporting,89.4%,403,9,106,14,274,"3,467",574,"2,692",201,
,,Estimated total,100.0%,451,10,119,16,306,"3,877",642,"3,010",225,
,Nonmetropolitan counties,,"228,173",,,,,,,,,,
,,Area actually reporting,78.5%,124,6,34,4,80,846,257,518,71,
,,Estimated total,100.0%,158,8,43,5,102,"1,079",328,660,91,
,State Total,,"812,383","1,508",21,445,111,931,"13,968","2,479","10,676",813,
,,"Rate per 100,000 inhabitants",,185.6,2.6,54.8,13.7,114.6,"1,719.4",305.2,"1,314.2",100.1,
TENNESSEE,Metropolitan Statistical Area,,"4,621,940", ,,,,,,,,,
,,Area actually reporting,100.0%,"34,718",364,"1,599","8,924","23,831","185,290","48,653","124,504","12,133",
,Cities outside metropolitan areas,,"610,990",,,,,,,,,,
,,Area actually reporting,100.0%,"3,957",37,202,550,"3,168","28,719","6,550","21,003","1,166",
,Nonmetropolitan counties,,"1,063,324",,,,,,,,,,
,,Area actually reporting,100.0%,"3,366",60,192,173,"2,941","22,356","8,443","12,239","1,674",
,State Total,,"6,296,254","42,041",461,"1,993","9,647","29,940","236,365","63,646","157,746","14,973",
,,"Rate per 100,000 inhabitants",,667.7,7.3,31.7,153.2,475.5,"3,754.1","1,010.9","2,505.4",237.8,
TEXAS,Metropolitan Statistical Area,,"21,787,209",,,,,,,,,,
,,Area actually reporting,99.9%,"111,793","1,194","7,275","36,958","66,366","919,563","216,655","629,987","72,921",
,,Estimated total,100.0%,"111,809","1,194","7,276","36,962","66,377","919,761","216,697","630,130","72,934",
,Cities outside metropolitan areas,,"1,388,267",,,,,,,,,,
,,Area actually reporting,99.3%,"6,550",54,637,872,"4,987","51,273","13,515","35,794","1,964",
,,Estimated total,100.0%,"6,574",54,640,874,"5,006","51,451","13,569","35,917","1,965",
,Nonmetropolitan counties,,"1,606,826",,,,,,,,,,
,,Area actually reporting,100.0%,"3,285",80,371,199,"2,635","23,933","9,967","12,306","1,660",
,State Total,,"24,782,302","121,668","1,328","8,287","38,035","74,018","995,145","240,233","678,353","76,559",
,,"Rate per 100,000 inhabitants",,490.9,5.4,33.4,153.5,298.7,"4,015.5",969.4,"2,737.2",308.9,
UTAH,Metropolitan Statistical Area,,"2,483,636",,,,,,,,,,
,,Area actually reporting,99.9%,"5,497",34,791,"1,272","3,400","84,557","13,749","64,190","6,618",
,,Estimated total,100.0%,"5,501",34,792,"1,273","3,402","84,620","13,759","64,238","6,623",
,Cities outside metropolitan areas,,"148,931",,,,,,,,,,
,,Area actually reporting,88.2%,210,1,53,16,140,"3,752",635,"2,960",157,
,,Estimated total,100.0%,238,1,60,18,159,"4,254",720,"3,356",178,
,Nonmetropolitan counties,,"152,005",,,,,,,,,,
,,Area actually reporting,88.2%,164,2,47,7,108,"2,056",600,"1,365",91,
,,Estimated total,100.0%,185,2,53,8,122,"2,331",680,"1,548",103,
,State Total,,"2,784,572","5,924",37,905,"1,299","3,683","91,205","15,159","69,142","6,904",
,,"Rate per 100,000 inhabitants",,212.7,1.3,32.5,46.6,132.3,"3,275.4",544.4,"2,483.0",247.9,
VERMONT,Metropolitan Statistical Area,,"209,200",,,,,,,,,,
,,Area actually reporting,100.0%,332,1,58,39,234,"6,417","1,148","5,102",167,
,Cities outside metropolitan areas,,"204,883",,,,,,,,,,
,,Area actually reporting,100.0%,310,1,32,54,223,"5,196","1,012","4,065",119,
,Nonmetropolitan counties,,"207,677",, ,,,,,,,,
,,Area actually reporting,98.0%,172,5,33,18,116,"3,253","1,267","1,827",159,
,,Estimated total,100.0%,175,5,34,18,118,"3,318","1,292","1,864",162,
,State Total,,"621,760",817,7,124,111,575,"14,931","3,452","11,031",448,
,,"Rate per 100,000 inhabitants",,131.4,1.1,19.9,17.9,92.5,"2,401.4",555.2,"1,774.2",72.1,
VIRGINIA,Metropolitan Statistical Area,,"6,766,343",,,,,,,,,,
,,Area actually reporting,100.0%,"16,118",291,"1,299","5,935","8,593","172,200","27,276","134,541","10,383",
,Cities outside metropolitan areas,,"270,931",,,,,,,,,,
,,Area actually reporting,100.0%,649,11,67,151,420,"8,367","1,245","6,831",291,
,Nonmetropolitan counties,,"845,316",,,,,,,,,,
,,Area actually reporting,100.0%,"1,112",45,145,171,751,"10,886","3,055","7,086",745,
,State Total,,"7,882,590","17,879",347,"1,511","6,257","9,764","191,453","31,576","148,458","11,419",
,,"Rate per 100,000 inhabitants",,226.8,4.4,19.2,79.4,123.9,"2,428.8",400.6,"1,883.4",144.9,
WASHINGTON,Metropolitan Statistical Area,,"5,846,504",,,,,,,,,,
,,Area actually reporting,100.0%,"20,173",149,"2,156","6,402","11,466","218,919","46,062","151,070","21,787",
,Cities outside metropolitan areas,,"332,214",,,,,,,,,,
,,Area actually reporting,97.3%,"1,134",13,241,214,666,"15,604","3,343","11,179","1,082",
,,Estimated total,100.0%,"1,166",13,248,220,685,"16,042","3,437","11,493","1,112",
,Nonmetropolitan counties,,"485,477",,,,,,,,,,
,,Area actually reporting,100.0%,717,17,135,77,488,"9,407","3,292","5,334",781,
,State Total,,"6,664,195","22,056",179,"2,539","6,699","12,639","244,368","52,791","167,897","23,680",
,,"Rate per 100,000 inhabitants",,331.0,2.7,38.1,100.5,189.7,"3,666.9",792.2,"2,519.4",355.3,
WEST VIRGINIA,Metropolitan Statistical Area,,"1,012,423",,,,,,,,,,
,,Area actually reporting,93.0%,"3,057",38,231,628,"2,160","26,871","7,044","18,181","1,646",
,,Estimated total,100.0%,"3,238",41,241,659,"2,297","28,989","7,547","19,689","1,753",
,Cities outside metropolitan areas,,"221,473",,,,,,,,,,
,,Area actually reporting,77.6%,662,11,67,118,466,"6,079","1,217","4,625",237,
,,Estimated total,100.0%,852,14,86,152,600,"7,833","1,568","5,960",305,
,Nonmetropolitan counties,,"585,881",,,,,,,,,,
,,Area actually reporting,91.7%,"1,197",27,97,97,976,"8,396","2,600","5,170",626,
,,Estimated total,100.0%,"1,306",29,106,106,"1,065","9,159","2,836","5,640",683,
,State Total,,"1,819,777","5,396",84,433,917,"3,962","45,981","11,951","31,289","2,741",
,,"Rate per 100,000 inhabitants",,296.5,4.6,23.8,50.4,217.7,"2,526.7",656.7,"1,719.4",150.6,
WISCONSIN,Metropolitan Statistical Area,,"4,126,916",,,,,,,,,,
,,Area actually reporting,99.8%,"12,646",125,870,"4,744","6,907","117,114","20,657","88,594","7,863",
,,Estimated total,100.0%,"12,656",125,871,"4,747","6,913","117,290","20,680","88,742","7,868",
,Cities outside metropolitan areas,,"627,299",,,,,,,,,,
,,Area actually reporting,98.4%,"1,031",8,119,75,829,"19,183","2,531","16,180",472,
,,Estimated total,100.0%,"1,047",8,121,76,842,"19,487","2,571","16,437",479,
,Nonmetropolitan counties,,"900,559",,,,,,,,,,
,,Area actually reporting,100.0%,830,11,116,27,676,"10,709","3,489","6,641",579,
,State Total,,"5,654,774","14,533",144,"1,108","4,850","8,431","147,486","26,740","111,820","8,926",
,,"Rate per 100,000 inhabitants",,257.0,2.5,19.6,85.8,149.1,"2,608.2",472.9,"1,977.4",157.8,
WYOMING,Metropolitan Statistical Area,,"164,211", ,,,,, ,,,,
,,Area actually reporting,100.0%,343,4,66,46,227,"5,838",896,"4,636",306,
,Cities outside metropolitan areas,,"224,827",,,,,,,,,,
,,Area actually reporting,97.9%,648,4,76,25,543,"6,616",939,"5,352",325,
,,Estimated total,100.0%,663,4,78,26,555,"6,759",959,"5,468",332,
,Nonmetropolitan counties,,"155,232",, ,, ,,,,,,
,,Area actually reporting,100.0%,236,5,40,5,186,"1,757",375,"1,249",133,
,State Total,,"544,270","1,242",13,184,77,968,"14,354","2,230","11,353",771,
,,"Rate per 100,000 inhabitants",,228.2,2.4,33.8,14.1,177.9,"2,637.3",409.7,"2,085.9",141.7,
1 Includes offenses reported by the Zoological Police and the Metro Transit Police.,,,,,,,,,,,,,
2 Limited data for 2009 were available for Illinois.  See Data Declaration. ,,,,,,,,,,,,,
"3 The data collection methodology for the offense of forcible rape used by the Illinois and the Minnesota state Uniform Crime Reporting (UCR) Programs (with the exception of Rockford, IL, and Minneapolis and St. Paul, MN) does not comply with national UCR guidelines.  Consequently, their state figures for forcible rape (with the exception of Rockford, IL, and Minneapolis and St. Paul, MN) have been estimated for inclusion in this table.  Table 8, Offenses Known to Law Enforcement, provides the reported female 
forcible rape crime figure. ",,,,,,,,,,,,,
"4 Because of changes in the state's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
