Table 26,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2016",,,,,
State,City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
,Phippsburg,"2,234",1,1,0
,Pittsfield,"4,051",5,5,0
,Portland,"67,041",216,157,59
,Presque Isle,"9,075",21,16,5
,Rangeley,"1,149",3,3,0
,Richmond,"3,394",4,4,0
,Rockland,"7,227",20,18,2
,Rockport,"3,392",7,6,1
,Rumford,"5,646",11,10,1
,Sabattus,"5,038",8,7,1
,Saco,"19,197",44,32,12
,Sanford,"20,914",43,39,4
,Scarborough,"19,851",58,40,18
,Searsport,"2,627",3,3,0
,Skowhegan,"8,454",13,13,0
,South Berwick,"7,454",13,9,4
,South Portland,"25,674",59,53,6
,Southwest Harbor,"1,774",9,5,4
,Thomaston,"2,776",5,5,0
,Topsham,"8,748",17,13,4
,Van Buren,"2,037",3,3,0
,Veazie,"1,855",4,4,0
,Waldoboro,"4,954",8,7,1
,Washburn,"1,578",2,2,0
,Waterville,"16,370",41,31,10
,Wells,"10,174",30,22,8
,Westbrook,"18,078",41,39,2
,Wilton,"3,922",6,6,0
,Windham,"17,983",29,26,3
,Winslow,"7,506",15,14,1
,Winthrop,"5,888",14,9,5
,Wiscasset,"3,638",5,4,1
,Yarmouth,"8,584",14,13,1
,York,"12,927",36,26,10
MARYLAND,Aberdeen,"15,704",51,41,10
,Annapolis,"39,703",153,109,44
,Baltimore,"618,385","2,908","2,512",396
,Baltimore City Sheriff,,201,156,45
,Bel Air,"10,200",42,32,10
,Berlin,"4,537",17,12,5
,Berwyn Heights,"3,311",9,8,1
,Bladensburg,"9,735",26,19,7
,Boonsboro,"3,457",6,5,1
,Bowie,"58,631",80,63,17
,Brentwood,"3,219",6,5,1
,Brunswick,"6,162",12,12,0
,Cambridge,"12,524",49,46,3
,Capitol Heights,"4,620",11,9,2
,Centreville,"4,696",12,12,0
,Chestertown,"5,067",15,14,1
,Cheverly,"6,546",15,12,3
,Chevy Chase Village,"2,080",17,11,6
,Colmar Manor,"1,482",4,3,1
,Cottage City,"1,383",3,3,0
,Crisfield,"2,642",14,11,3
,Cumberland,"19,995",54,50,4
,Delmar,"3,068",13,12,1
,Denton,"4,337",13,12,1
,District Heights,"6,204",12,11,1
,Easton,"16,689",54,46,8
,Edmonston,"1,532",7,5,2
,Elkton,"15,837",45,40,5
,Fairmount Heights,"1,585",1,1,0
,Federalsburg,"2,646",7,7,0
,Forest Heights,"2,598",9,7,2
,Frederick,"70,316",186,148,38
,Frostburg,"8,601",20,15,5
,Fruitland,"5,287",20,19,1
,Glenarden,"6,390",14,12,2
,Greenbelt,"24,511",63,45,18
,Greensboro,"1,864",2,2,0
,Hagerstown,"40,567",114,101,13
,Hampstead,"6,365",11,10,1
,Hancock,"1,548",4,3,1
,Havre de Grace,"13,604",45,36,9
,Hurlock,"2,036",10,9,1
,Hyattsville,"18,666",50,38,12
,Landover Hills,"1,828",6,5,1
,La Plata,"9,201",19,18,1
,Laurel,"26,424",85,64,21
,Luke,63,1,1,0
,Manchester,"4,820",6,6,0
,Morningside,"2,104",8,7,1
,Mount Rainier,"8,552",21,17,4
,New Carrollton,"12,914",27,21,6
,North East,"3,734",12,11,1
,Oakland,"1,868",2,2,0
,Ocean City,"7,045",126,96,30
,Ocean Pines,"12,207",18,14,4
,Oxford,615,3,3,0
,Perryville,"4,451",13,12,1
,Pocomoke City,"4,124",23,16,7
,Princess Anne,"3,299",13,12,1
,Ridgely,"1,611",5,5,0
,Rising Sun,"2,860",6,6,0
,Riverdale Park,"7,373",28,19,9
,Rock Hall,"1,302",4,4,0
,Salisbury,"33,417",114,90,24
,Seat Pleasant,"4,826",17,13,4
,Smithsburg,"3,000",4,3,1
,Snow Hill,"2,082",6,6,0
,St. Michaels,"1,048",9,8,1
,Sykesville,"4,409",8,7,1
,Takoma Park,"17,905",58,40,18
,Taneytown,"6,749",15,14,1
,Thurmont,"6,507",15,13,2
,Trappe,"1,015",1,1,0
,University Park,"2,688",9,8,1
,Upper Marlboro,671,3,3,0
,Westminster,"18,683",53,42,11
MASSACHUSETTS,Abington,"16,201",27,25,2
,Acton,"23,770",54,43,11
,Acushnet,"10,466",21,19,2
,Adams,"8,131",17,16,1
,Agawam,"28,844",57,47,10
,Andover,"35,558",71,51,20
,Aquinnah,331,4,4,0
,Arlington,"45,004",84,66,18
,Ashburnham,"6,206",16,11,5
,Ashby,"3,242",9,5,4
,Ashland,"17,689",29,25,4
,Attleboro,"44,225",91,79,12
,Auburn,"16,508",46,35,11
,Avon,"4,505",15,11,4
,Ayer,"8,078",26,18,8
,Barnstable,"43,974",128,113,15
,Barre,"5,491",9,8,1
,Becket,"1,759",4,4,0
,Bedford,"14,280",38,29,9
,Belchertown,"14,985",22,18,4
,Bellingham,"16,922",40,33,7
,Belmont,"25,637",60,46,14
,Berkley,"6,678",8,8,0
,Berlin,"3,038",14,10,4
,Bernardston,"2,096",3,3,0
,Beverly,"41,303",72,68,4
,Billerica,"42,965",78,65,13
,Blackstone,"9,079",20,17,3
,Bolton,"5,210",13,12,1
,Boston,"673,880","2,678","2,125",553
,Bourne,"19,577",47,40,7
,Boxborough,"5,223",17,11,6
,Boxford,"8,271",11,11,0
,Boylston,"4,551",13,10,3
,Braintree,"37,673",92,77,15
,Brewster,"9,888",29,24,5
,Brockton,"95,189",208,187,21
,Brookline,"59,033",159,129,30
,Buckland,"1,857",2,2,0
,Burlington,"26,083",73,65,8
,Cambridge,"111,030",322,277,45
,Canton,"22,962",42,42,0
,Carlisle,"5,300",13,10,3
,Carver,"11,600",18,13,5
,Charlton,"13,430",22,18,4
,Chatham,"6,119",26,21,5
,Chelmsford,"35,251",64,52,12
,Chelsea,"40,096",119,110,9
,Cheshire,"3,143",1,1,0
,Chicopee,"56,887",136,132,4
,Chilmark,926,5,5,0
,Clinton,"13,780",28,24,4
,Cohasset,"8,538",19,18,1
,Concord,"20,189",46,36,10
,Dalton,"6,642",11,10,1
,Danvers,"27,997",58,46,12
,Dartmouth,"34,630",88,70,18
,Dedham,"25,402",59,57,2
,Deerfield,"4,994",10,9,1
,Dennis,"13,905",52,45,7
,Dighton,"7,430",13,12,1
,Douglas,"8,741",19,15,4
,Dover,"6,008",17,16,1
,Dracut,"31,586",45,39,6
,Dudley,"11,558",15,14,1
,Dunstable,"3,471",9,8,1
,East Bridgewater,"14,390",23,21,2
,Eastham,"4,886",22,16,6
,Easthampton,"16,026",33,27,6
,East Longmeadow,"16,267",27,26,1
,Easton,"23,918",39,31,8
,Egremont,"1,207",3,3,0
,Erving,"1,771",5,5,0
,Essex,"3,675",10,9,1
,Everett,"46,754",110,101,9
,Fairhaven,"16,120",31,25,6
,Fall River,"88,371",265,218,47
,Falmouth,"31,382",59,55,4
,Fitchburg,"40,391",94,78,16
,Foxborough,"17,491",44,36,8
,Framingham,"71,422",158,144,14
,Franklin,"33,264",54,46,8
,Freetown,"9,199",18,18,0
,Georgetown,"8,623",16,12,4
,Gloucester,"29,836",52,47,5
,Goshen,"1,073",2,2,0
,Grafton,"18,613",22,18,4
,Granby,"6,375",13,9,4
,Granville,"1,628",2,1,1
,Great Barrington,"6,870",16,15,1
,Greenfield,"17,456",44,34,10
,Groton,"11,372",25,19,6
,Groveland,"6,776",13,10,3
,Hadley,"5,372",15,11,4
,Hamilton,"8,181",18,13,5
,Hampden,"5,227",15,11,4
,Hanson,"10,666",25,20,5
,Hardwick,"4,019",4,4,0
,Harwich,"12,112",37,34,3
,Hatfield,"3,302",3,3,0
,Haverhill,"62,851",104,92,12
,Hingham,"23,204",52,50,2
,Holbrook,"11,047",22,21,1
,Holland,"2,505",2,2,0
,Holliston,"14,656",27,22,5
,Holyoke,"40,738",144,120,24
,Hopedale,"5,938",16,12,4
,Hopkinton,"16,960",32,23,9
,Hudson,"19,931",45,33,12
,Ipswich,"13,863",28,23,5
,Kingston,"13,378",31,24,7
,Lakeville,"11,417",22,17,5
,Lancaster,"8,150",12,11,1
,Lanesboro,"2,972",6,6,0
,Lawrence,"80,622",147,129,18
,Leicester,"11,355",23,18,5
,Lenox,"4,971",10,10,0
,Leominster,"41,547",83,67,16
,Lexington,"33,643",61,47,14
,Lincoln,"7,550",19,13,6
,Littleton,"10,074",24,18,6
,Longmeadow,"15,876",32,26,6
,Lowell,"111,027",336,239,97
,Ludlow,"21,484",44,38,6
,Lunenburg,"11,438",14,14,0
,Lynn,"92,443",200,181,19
,Malden,"61,102",114,101,13
,Mansfield,"23,681",48,35,13
,Marblehead,"20,563",39,30,9
,Marion,"5,098",16,16,0
,Marlborough,"39,899",77,65,12
,Marshfield,"25,696",49,46,3
,Mashpee,"14,122",42,35,7
,Mattapoisett,"6,282",19,19,0
,Maynard,"10,745",26,21,5
,Medford,"57,367",105,103,2
,Medway,"13,289",28,22,6
,Melrose,"28,070",47,47,0
,Mendon,"6,033",17,12,5
,Merrimac,"6,859",11,7,4
,Methuen,"49,912",111,93,18
,Middleboro,"24,490",47,41,6
,Middleton,"9,852",16,14,2
,Milford,"28,606",54,45,9
,Millbury,"13,532",24,19,5
,Millville,"3,228",6,5,1
,Montague,"8,242",16,16,0
,Nahant,"3,484",13,12,1
,Nantucket,"11,036",51,34,17
,Natick,"36,777",69,56,13
,Needham,"30,733",55,46,9
,New Bedford,"94,524",297,255,42
,Newton,"89,116",195,149,46
,Norfolk,"11,991",24,18,6
,North Adams,"13,162",34,29,5
,Northampton,"28,521",69,63,6
,North Andover,"29,853",51,40,11
,North Attleboro,"29,013",58,44,14
,Northborough,"15,109",27,20,7
,Northbridge,"16,638",27,19,8
,Northfield,"2,984",4,4,0
,North Reading,"15,712",32,31,1
,Norton,"19,445",30,29,1
,Norwell,"11,030",26,21,5
,Norwood,"29,058",68,57,11
,Orange,"7,615",13,12,1
,Orleans,"5,810",27,22,5
,Oxford,"13,895",28,22,6
,Palmer,"12,171",26,19,7
,Paxton,"4,874",19,17,2
,Peabody,"52,501",111,92,19
,Pelham,"1,332",4,2,2
,Pepperell,"12,242",16,15,1
,Petersham,"1,243",2,2,0
,Phillipston,"1,751",2,2,0
,Pittsfield,"43,031",114,96,18
,Plainville,"9,178",24,19,5
,Plymouth,"59,088",134,119,15
,Plympton,"2,922",9,9,0
,Princeton,"3,465",7,6,1
,Provincetown,"2,959",25,19,6
,Quincy,"93,437",238,210,28
,Randolph,"33,807",61,59,2
,Raynham,"13,818",35,27,8
,Reading,"25,779",55,42,13
,Rehoboth,"12,033",28,23,5
,Revere,"53,514",107,98,9
,Rochester,"5,522",12,12,0
,Rockport,"7,222",20,16,4
,Rowley,"6,343",16,12,4
,Royalston,"1,271",1,1,0
,Salem,"42,888",106,100,6
,Sandwich,"20,312",45,35,10
,Saugus,"28,131",72,58,14
,Scituate,"18,462",38,33,5
,Seekonk,"15,159",39,37,2
,Sharon,"18,200",34,31,3
,Sheffield,"3,179",6,6,0
,Sherborn,"4,317",15,15,0
,Shrewsbury,"36,874",57,45,12
,Somerset,"18,223",37,30,7
,Somerville,"80,899",142,127,15
,Southborough,"10,048",22,17,5
,Southbridge,"16,819",42,36,6
,South Hadley,"17,748",30,25,5
,Southwick,"9,758",23,18,5
,Spencer,"11,782",21,17,4
,Springfield,"154,102",523,419,104
,Sterling,"7,993",14,13,1
,Stockbridge,"1,936",7,6,1
,Stoneham,"22,045",44,37,7
,Stoughton,"28,583",59,52,7
,Stow,"7,197",11,11,0
,Sturbridge,"9,520",25,19,6
,Sudbury,"19,035",34,25,9
,Sunderland,"3,652",5,5,0
,Sutton,"9,292",21,16,5
,Swampscott,"14,551",34,32,2
,Swansea,"16,418",36,30,6
,Taunton,"56,720",120,114,6
,Templeton,"8,169",14,9,5
,Tewksbury,"31,160",74,59,15
,Tisbury,"4,129",15,14,1
,Topsfield,"6,590",12,11,1
,Townsend,"9,585",16,15,1
,Truro,"1,999",17,12,5
,Tyngsboro,"12,397",32,26,6
,Uxbridge,"13,916",23,18,5
,Wakefield,"27,080",46,45,1
,Walpole,"25,187",53,40,13
,Waltham,"63,613",170,143,27
,Wareham,"22,422",59,47,12
,Watertown,"34,655",71,67,4
,Wayland,"13,760",32,23,9
,Webster,"16,842",32,30,2
,Wellesley,"29,049",45,39,6
,Wellfleet,"2,737",19,13,6
,Wenham,"5,198",11,10,1
,Westborough,"18,984",31,29,2
,West Brookfield,"3,778",6,5,1
,Westfield,"41,700",88,81,7
,Westford,"24,103",49,45,4
,Westminster,"7,595",14,13,1
,West Newbury,"4,582",13,8,5
,Weston,"12,147",34,25,9
,Westport,"15,798",32,28,4
,West Springfield,"28,689",93,84,9
,West Tisbury,"2,927",10,9,1
,Westwood,"16,285",40,31,9
,Weymouth,"56,149",108,92,16
,Whitman,"14,852",27,26,1
,Wilbraham,"14,684",28,27,1
,Williamsburg,"2,466",1,1,0
,Williamstown,"7,591",14,11,3
,Wilmington,"23,667",50,48,2
,Winchendon,"10,727",19,14,5
,Winchester,"22,523",46,38,8
,Winthrop,"18,216",33,31,2
,Woburn,"39,638",80,75,5
,Worcester,"184,595",485,435,50
,Wrentham,"11,614",22,21,1
,Yarmouth,"23,299",73,61,12
MICHIGAN,Adrian,"20,600",30,28,2
,Adrian Township,"6,316",1,1,0
,Akron,391,1,1,0
,Albion,"8,155",17,16,1
,Allegan,"5,086",10,9,1
,Allen Park,"27,284",43,40,3
,Alma,"9,159",16,15,1
,Almont,"2,734",7,6,1
,Alpena,"10,119",19,17,2
,Ann Arbor,"117,688",151,125,26
,Argentine Township,"6,591",6,5,1
,Armada,"1,747",2,2,0
,Auburn Hills,"22,933",53,48,5
,Au Gres,853,1,1,0
,Bad Axe,"2,989",8,7,1
,Bangor,"1,843",5,5,0
,Baraga,"1,985",2,2,0
,Baroda-Lake Township,"3,774",4,4,0
,Barry Township,"3,413",2,2,0
,Bath Township,"12,552",13,12,1
,Battle Creek,"60,904",125,109,16
,Bay City,"33,725",53,49,4
,Beaverton,"1,044",2,2,0
,Belding,"5,772",8,8,0
,Bellaire,"1,062",3,3,0
,Belleville,"3,860",10,8,2
,Bellevue,"1,277",2,2,0
,Benton Harbor,"9,963",25,20,5
,Benton Township,"14,413",26,22,4
,Berkley,"15,328",34,27,7
,Berrien Springs-Oronoko Township,"9,085",9,8,1
,Beverly Hills,"10,455",27,26,1
,Big Rapids,"10,389",17,16,1
,Birch Run,"1,465",6,5,1
,Birmingham,"21,012",42,32,10
,Blackman Township,"37,522",35,34,1
,Blissfield,"3,239",5,5,0
,Bloomfield Hills,"4,031",27,24,3
,Bloomfield Township,"42,313",74,54,20
,Boyne City,"3,785",8,7,1
,Breckenridge,"1,301",1,1,0
,Bridgeport Township,"9,993",11,10,1
,Bridgman,"2,251",5,5,0
,Brighton,"7,643",19,17,2
,Bronson,"2,333",4,4,0
,Brown City,"1,264",2,2,0
,Brownstown Township,"30,864",39,32,7
,Buchanan,"4,344",10,9,1
,Buena Vista Township,"8,158",10,9,1
,Burton,"28,563",43,40,3
,Cadillac,"10,372",17,15,2
,Calumet,698,1,1,0
,Cambridge Township,"5,645",4,4,0
,Canton Township,"89,861",119,82,37
,Capac,"1,842",1,1,0
,Carleton,"2,335",3,2,1
,Caro,"4,074",7,7,0
,Carrollton Township,"5,781",6,6,0
,Carson City,"1,090",2,2,0
,Caspian-Gaastra,"1,190",1,1,0
,Cass City,"2,343",4,4,0
,Cassopolis,"1,721",5,5,0
,Center Line,"8,332",23,19,4
,Central Lake,932,1,1,0
,Charlevoix,"2,546",8,7,1
,Charlotte,"9,051",18,16,2
,Cheboygan,"4,709",8,8,0
,Chelsea,"5,254",14,10,4
,Chesterfield Township,"44,963",55,41,14
,Chikaming Township,"3,090",5,5,0
,Chocolay Township,"5,952",5,4,1
,Clare,"3,071",8,8,0
,Clawson,"12,053",18,17,1
,Clayton Township,"7,156",4,4,0
,Clay Township,"8,844",19,16,3
,Clinton,"2,260",4,4,0
,Clinton Township,"100,514",102,93,9
,Clio,"2,516",4,4,0
,Coldwater,"10,827",20,17,3
,Coleman,"1,198",1,1,0
,Coloma Township,"6,388",10,7,3
,Colon,"1,156",3,3,0
,Columbia Township,"7,424",5,5,0
,Constantine,"2,062",3,3,0
,Corunna,"3,386",3,3,0
,Covert Township,"2,824",7,7,0
,Croswell,"2,318",6,6,0
,Crystal Falls,"1,404",2,2,0
,Davison,"4,927",7,6,1
,Davison Township,"19,029",20,18,2
,Dearborn,"94,646",246,189,57
,Dearborn Heights,"55,852",95,83,12
,Decatur,"1,759",4,4,0
,Denton Township,"5,358",6,6,0
,Detroit,"669,673","2,855","2,350",505
,DeWitt Township,"14,686",17,16,1
,Dowagiac,"5,849",15,14,1
,Dryden Township,"4,773",4,4,0
,Dundee,"4,004",2,2,0
,Durand,"3,317",6,6,0
,East Grand Rapids,"11,436",30,28,2
,East Jordan,"2,376",4,4,0
,East Lansing,"48,451",67,54,13
,Eastpointe,"32,701",41,37,4
,Eaton Rapids,"5,226",9,8,1
,Eau Claire,617,1,1,0
,Ecorse,"9,213",18,17,1
,Elk Rapids,"1,611",5,5,0
,Elkton,774,2,2,0
,Emmett Township,"11,604",16,14,2
,Erie Township,"4,374",4,3,1
,Escanaba,"12,278",40,29,11
,Essexville,"3,381",8,8,0
,Evart,"1,853",2,2,0
,Fair Haven Township,"1,051",1,1,0
,Farmington,"10,553",24,23,1
,Farmington Hills,"81,649",137,100,37
,Fennville,"1,401",1,1,0
,Fenton,"11,383",18,14,4
,Ferndale,"20,232",48,38,10
,Flat Rock,"9,917",18,18,0
,Flint,"97,548",117,103,14
,Flint Township,"30,460",43,38,5
,Flushing,"8,028",10,10,0
,Flushing Township,"10,235",6,6,0
,Forsyth Township,"6,196",9,8,1
,Fowlerville,"2,898",7,6,1
,Frankenmuth,"5,037",7,7,0
,Frankfort,"1,283",3,3,0
,Franklin,"3,254",10,10,0
,Fraser,"14,667",48,37,11
,Fremont,"4,027",7,6,1
,Fruitport Township,"13,879",9,9,0
,Gaines Township,"6,177",1,1,0
,Galesburg,"2,050",4,4,0
,Garden City,"26,781",30,28,2
,Gaylord,"3,662",10,9,1
,Genesee Township,"20,393",14,12,2
,Gerrish Township,"2,922",7,7,0
,Gibraltar,"4,509",9,8,1
,Gladstone,"4,802",11,10,1
,Gladwin,"2,869",4,4,0
,Grand Beach,278,4,4,0
,Grand Blanc,"7,940",19,16,3
,Grand Blanc Township,"36,598",46,39,7
,Grand Haven,"11,196",33,30,3
,Grand Ledge,"7,790",14,14,0
,Grand Rapids,"196,538",335,276,59
,Grandville,"16,070",26,24,2
,Grant,880,1,1,0
,Grayling,"1,836",8,8,0
,Green Oak Township,"18,722",17,15,2
,Greenville,"8,438",19,17,2
,Grosse Ile Township,"10,123",23,17,6
,Grosse Pointe,"5,198",22,22,0
,Grosse Pointe Farms,"9,188",41,32,9
,Grosse Pointe Park,"11,160",38,33,5
,Grosse Pointe Shores,"2,920",17,17,0
,Grosse Pointe Woods,"15,699",32,27,5
,Hamburg Township,"21,714",18,17,1
,Hampton Township,"9,401",11,10,1
,Hamtramck,"21,929",35,30,5
,Hancock,"4,537",8,8,0
,Harbor Beach,"1,621",4,4,0
,Harbor Springs,"1,203",6,5,1
,Harper Woods,"13,764",32,28,4
,Hart,"2,093",4,4,0
,Hartford,"2,604",5,5,0
,Hastings,"7,274",15,13,2
,Hazel Park,"16,636",37,33,4
,Hesperia,935,2,2,0
,Highland Park,"10,810",8,7,1
,Hillsdale,"8,139",14,13,1
,Holland,"33,867",65,57,8
,Holly,"6,186",8,8,0
,Home Township,"1,350",1,1,0
,Hopkins,608,1,1,0
,Houghton,"8,020",10,9,1
,Howell,"9,533",19,17,2
,Hudson,"2,229",2,2,0
,Huntington Woods,"6,360",18,16,2
,Huron Township,"15,622",24,18,6
,Imlay City,"3,569",8,8,0
,Inkster,"24,548",29,25,4
,Ionia,"11,370",18,16,2
,Iron Mountain,"7,482",12,12,0
,Iron River,"2,881",4,4,0
,Ironwood,"4,929",11,10,1
,Ishpeming,"6,485",10,9,1
,Jackson,"33,060",58,46,12
,Jonesville,"2,213",3,3,0
,Kalamazoo,"76,389",259,216,43
,Kalamazoo Township,"24,534",38,31,7
,Kalkaska,"2,042",4,3,1
,Keego Harbor,"3,040",4,4,0
,Kentwood,"51,897",81,68,13
,Kingsford,"5,057",17,17,0
,Kinross Township,"7,536",2,2,0
,Lake Angelus,298,1,1,0
,Lake Linden,985,1,1,0
,Lake Odessa,"2,032",3,3,0
,Lake Orion,"3,065",5,4,1
,Lakeview,"1,011",2,2,0
,L'Anse,"1,920",4,4,0
,Lansing,"115,199",213,188,25
,Lansing Township,"8,148",16,15,1
,Lapeer,"8,782",22,20,2
,Lathrup Village,"4,147",9,9,0
,Laurium,"1,933",4,4,0
,Lawton,"1,860",5,5,0
,Lennon,499,1,1,0
,Leslie,"1,869",3,3,0
,Lexington,"1,119",3,3,0
,Lincoln Park,"36,808",46,40,6
,Lincoln Township,"14,500",12,11,1
,Linden,"3,811",5,5,0
,Litchfield,"1,343",2,2,0
,Livonia,"94,226",186,147,39
,Lowell,"3,931",6,5,1
,Ludington,"8,054",15,14,1
,Luna Pier,"1,380",2,2,0
,Mackinac Island,479,5,5,0
,Mackinaw City,802,6,6,0
,Madison Heights,"30,297",58,46,12
,Madison Township,"8,464",5,5,0
,Mancelona,"1,361",1,1,0
,Manistee,"6,057",12,12,0
,Manistique,"2,960",7,7,0
,Manton,"1,389",1,1,0
,Marenisco Township,"1,681",1,1,0
,Marine City,"4,124",4,4,0
,Marlette,"1,787",4,4,0
,Marquette,"21,283",37,33,4
,Marshall,"7,038",15,15,0
,Marysville,"9,722",16,14,2
,Mason,"8,461",13,12,1
,Mattawan,"1,938",5,5,0
,Mayville,914,1,1,0
,Melvindale,"10,348",24,23,1
,Mendon,859,2,2,0
,Menominee,"8,344",17,16,1
,Meridian Township,"42,700",44,39,5
,Metamora Township,"4,241",4,4,0
,Michiana,183,3,3,0
,Midland,"42,263",48,46,2
,Milan,"6,012",13,9,4
,Milford,"16,707",20,18,2
,Millington,"1,030",2,2,0
,Monroe,"19,971",43,38,5
,Montague,"2,362",5,5,0
,Montrose Township,"7,524",10,9,1
,Morenci,"2,181",2,2,0
,Morrice,891,2,2,0
,Mount Morris,"2,941",4,4,0
,Mount Morris Township,"20,502",31,28,3
,Mount Pleasant,"26,069",35,29,6
,Mundy Township,"14,562",19,16,3
,Munising,"2,278",4,4,0
,Muskegon,"38,442",82,74,8
,Muskegon Heights,"10,785",23,20,3
,Muskegon Township,"17,791",15,14,1
,Napoleon Township,"6,764",12,12,0
,Nashville,"1,635",4,4,0
,Negaunee,"4,584",9,9,0
,Newaygo,"1,951",5,5,0
,New Baltimore,"12,409",18,17,1
,New Buffalo,"1,875",8,7,1
,New Era,444,1,1,0
,Niles,"11,282",24,16,8
,Northfield Township,"8,617",11,10,1
,North Muskegon,"3,779",8,8,0
,Northville,"6,019",13,13,0
,Northville Township,"28,890",38,27,11
,Norton Shores,"24,256",31,29,2
,Norway,"2,789",6,6,0
,Novi,"59,441",84,62,22
,Oak Park,"29,838",61,49,12
,Olivet,"1,611",2,2,0
,Ontwa Township-Edwardsburg,"6,481",6,6,0
,Orchard Lake,"2,428",12,10,2
,Oscoda Township,"6,838",11,10,1
,Otsego,"3,998",7,6,1
,Ovid,"1,614",2,2,0
,Owosso,"14,605",18,17,1
,Oxford,"3,554",7,4,3
,Paw Paw,"3,441",9,8,1
,Pentwater,843,3,3,0
,Perry,"2,088",4,4,0
,Petoskey,"5,731",20,19,1
,Pigeon,"1,158",1,1,0
,Pinckney,"2,439",6,6,0
,Pinconning,"1,264",1,1,0
,Pittsfield Township,"38,704",57,40,17
,Plainwell,"3,826",9,8,1
,Pleasant Ridge,"2,562",6,6,0
,Plymouth,"8,865",16,15,1
,Plymouth Township,"26,870",48,30,18
,Portage,"48,550",74,54,20
,Port Austin,638,1,1,0
,Port Huron,"29,182",69,54,15
,Portland,"3,929",6,6,0
,Potterville,"2,619",4,4,0
,Prairieville Township,"3,409",3,2,1
,Quincy,"1,638",3,3,0
,Raisin Township,"7,577",6,5,1
,Reading,"1,052",1,1,0
,Redford Township,"47,218",65,56,9
,Reed City,"2,383",5,5,0
,"Richfield Township, Genesee County","8,315",11,9,2
,"Richfield Township, Roscommon County","3,628",5,4,1
,Richland,793,3,3,0
,"Richland Township, Saginaw County","3,961",3,3,0
,Richmond,"5,882",11,9,2
,River Rouge,"7,480",20,18,2
,Riverview,"12,127",25,23,2
,Rochester,"13,050",28,21,7
,Rockford,"6,218",11,10,1
,Rockwood,"3,183",6,6,0
,Rogers City,"2,692",6,6,0
,Romeo,"3,630",11,8,3
,Romulus,"23,315",51,39,12
,Roosevelt Park,"3,820",5,5,0
,Roseville,"47,704",72,69,3
,Royal Oak,"59,367",93,78,15
,Saginaw,"48,942",61,53,8
,Saginaw Township,"39,421",46,41,5
,Saline,"9,158",17,13,4
,Sandusky,"2,580",6,5,1
,Sault Ste. Marie,"13,763",25,23,2
,Schoolcraft,"1,574",3,3,0
,Scottville,"1,213",2,2,0
,Sebewaing,"1,679",3,3,0
,Shelby,"2,010",3,3,0
,Shelby Township,"78,427",85,66,19
,Shepherd,"1,505",2,2,0
,Somerset Township,"4,580",3,3,0
,Southfield,"73,438",150,121,29
,Southgate,"29,158",40,36,4
,South Haven,"4,352",21,17,4
,South Lyon,"11,801",17,16,1
,South Rockwood,"1,635",2,2,0
,Sparta,"4,346",6,6,0
,Spaulding Township,"2,041",1,1,0
,Spring Arbor Township,"8,097",2,2,0
,Springport Township,"2,148",2,2,0
,Standish,"1,442",1,1,0
,Stanton,"1,414",1,1,0
,St. Charles,"1,940",2,2,0
,St. Clair,"5,368",7,7,0
,St. Clair Shores,"59,938",86,81,5
,Sterling Heights,"132,523",165,145,20
,St. Ignace,"2,376",6,5,1
,St. Johns,"7,916",11,10,1
,St. Joseph,"8,271",23,21,2
,St. Joseph Township,"9,850",12,11,1
,St. Louis,"7,212",7,6,1
,Stockbridge,"1,235",2,2,0
,Sturgis,"10,876",24,19,5
,Sumpter Township,"9,265",16,14,2
,Swartz Creek,"5,531",9,8,1
,Sylvan Lake,"1,798",4,4,0
,Tawas,"4,515",5,4,1
,Taylor,"61,290",90,74,16
,Tecumseh,"8,353",15,13,2
,Thomas Township,"11,505",7,7,0
,Three Rivers,"7,738",18,16,2
,Tittabawassee Township,"9,782",6,5,1
,Traverse City,"15,330",30,29,1
,Trenton,"18,294",34,33,1
,Troy,"83,743",149,102,47
,Tuscarora Township,"2,946",8,7,1
,Ubly,822,1,1,0
,Unadilla Township,"3,405",3,3,0
,Union City,"1,581",5,5,0
,Utica,"4,980",18,14,4
,Van Buren Township,"28,090",55,40,15
,Vassar,"2,605",4,4,0
,Vernon,753,1,1,0
,Vicksburg,"3,298",7,6,1
,Walker,"24,874",38,34,4
,Walled Lake,"7,132",6,6,0
,Warren,"135,620",235,196,39
,Waterford Township,"73,308",70,53,17
,Watervliet,"1,684",3,3,0
,Wayland,"4,184",7,6,1
,Wayne,"16,989",21,21,0
,West Bloomfield Township,"66,123",103,70,33
,West Branch,"2,054",5,4,1
,Westland,"81,625",107,81,26
,White Cloud,"1,378",2,2,0
,Whitehall,"2,712",8,8,0
,White Lake Township,"31,135",36,26,10
,White Pigeon,"1,513",4,4,0
,Williamston,"3,888",6,6,0
,Wixom,"13,796",23,20,3
,Wolverine Lake,"4,397",6,6,0
,Woodhaven,"12,478",29,27,2
,Wyandotte,"25,029",46,32,14
,Wyoming,"75,917",102,87,15
,Yale,"1,896",3,3,0
,Ypsilanti,"20,019",34,29,5
,Zeeland,"5,650",11,10,1
,Zilwaukee,"1,562",2,2,0
MINNESOTA,Aitkin,"2,031",8,7,1
,Akeley,431,1,1,0
